Id_Produktu,LP,Indeks,Identyfikator,Opis,Cena brutto,Sciezka,Kategoria,Atrybut,Formularz Zamowien,Warstwy,Kolor
190,4,"DK29-039","ZAPALNICZKA BENZYNOWA","Otwierana zapalniczka benzynowa do napełniania benzyną. Zdobienie na produkcie stylizowane na motyw retro z imieniem męskim. Produkt zapakowany w profilowanym opakowaniu i kartce.",10.0000,"6","Zapalniczki i popielniczki","0",,"Warstwa 1",
191,6,"DK29-039 ŻYWICA","ZAPALNICZKA BENZYNOWA ŻYWICA","Otwierana zapalniczka benzynowa do napełniania benzyną. Zdobienie na produkcie stylizowane na motyw retro z imieniem męskim. Produkt zapakowany w profilowanym opakowaniu i kartce.",12.0000,"2","Zapalniczki i popielniczki","0",,"Warstwa 1,cut",
192,7,"ZAPALNICZKA JET (KOLOR)","ZAPALNICZKA GAZOWA DUŻA","Zapalniczka gazowa z żarowym płomieniem 
z możliwością wielokrotnego napełnienia. Zapalniczka występuje w 4 kolorach. Produkt zapakowany 
w kartonik i wypraskę z tworzywa sztucznego.",9.5000,"1.5","Zapalniczki i popielniczki","0",,"Warstwa 1",
193,8,"ZAPALNICZKA MAŁA","ZAPALNICZKA GAZOWA MAŁA","Zapalniczka gazowa z żarowym płomieniem 
z możliwością wielokrotnego napełnienia. Zapalniczka występuje w 4 kolorach. Produkt zapakowany 
w kartonik i wypraskę z tworzywa sztucznego.",4.5000,"1.5","Zapalniczki i popielniczki","0",,"Warstwa 1",
194,9,"ZAPALNICZKA PŁOMIEŃ","ZAPALNICZKA GAZOWA PŁOMIEŃ","Zapalniczka gazowa z możliwością wielokrotnego napełnienia. Zapalniczka występuje w 6 kolorach. Produkt zapakowany w kartonik i wypraskę z tworzywa sztucznego.",3.0000,"1.5","Zapalniczki i popielniczki","0",,"Warstwa 1",
196,0,"DK38-008AB","NOTATNIK","Funkcjonalny notes wykonany z komponentów biodegradowalnych. Możliwe jest wykonanie grafiki ze wzorem w technologii laserowej, dolna część okładki wykonana z korka. Produkt wyposażony w długopis umożliwiający natychmiastowe użycie notesu.",6.5000,"3","Upominki biznesowe","0",,"Warstwa 1",
197,0,"DK38-008AB","NOTATNIK ECO","Funkcjonalny notes wykonany z komponentów biodegradowalnych. Możliwe jest wykonanie grafiki ze wzorem w technologii laserowej. Produkt dostępny w 3 kolorach wyposażony w długopis umożliwiający natychmiastowe użycie notesu.",6.5000,"3","Upominki biznesowe","0",,"Warstwa 1",
198,0,"PIRAMIDA SZKŁO M","PIRAMIDA SZKŁO","Ozdoba z bezbarwnego szkła w kształcie piramidy, posiadający miejsce na wykonanie grafiki ze wzorem. Produkt zapakowany w kartoniku ochronnym.",7.0000,"1.1","Upominki biznesowe","0",,"Warstwa 1",
199,0,"PIRAMIDA SZKŁO D","PIRAMIDA SZKŁO DUŻA","Ozdoba z bezbarwnego szkła w kształcie piramidy, posiadający miejsce na wykonanie grafiki ze wzorem. Produkt zapakowany w kartoniku ochronnym.",9.0000,"1.1","Upominki biznesowe","0",,"Warstwa 1",
200,0,"DK39-EKO4","ZESTAW UPOMINKOWY","Zestaw upominkowy (etui na karty, brelok) zapakowany w eleganckim kartoniku. Możliwość wykonania graweru z grafiką klienta, na brelokach możliwy grawer dwustronny. Produkt dostępny w 3 kolorach:  1 - Czarny ze srebrnym grawerem ; 
2 - Brązowy z czarnym gr",17.0000,"3","Upominki biznesowe","0",,"Warstwa 1",
